epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,34031.6,1.99472,2.32216,1.95913,0.12867,0.21553,0.08904,0.02919,2.18247,2.65701,2.24621,0.0031195,0.0031195,0.0031195
141,34129.9,1.99075,2.34914,1.96487,0.12985,0.21416,0.08878,0.02905,2.18264,2.65667,2.24639,0.00307,0.00307,0.00307
142,34228.3,1.98557,2.33754,1.9595,0.12997,0.21307,0.089,0.02914,2.1818,2.65585,2.24523,0.0030205,0.0030205,0.0030205
143,34328.2,1.99991,2.34332,1.98158,0.12456,0.22082,0.08904,0.0292,2.18092,2.65532,2.24407,0.002971,0.002971,0.002971
144,34425.2,1.99245,2.31867,1.95135,0.12601,0.22155,0.08914,0.02924,2.18065,2.65516,2.24395,0.0029215,0.0029215,0.0029215
145,34523.8,1.99432,2.33107,1.95417,0.12583,0.2211,0.08918,0.0293,2.18072,2.65451,2.2432,0.002872,0.002872,0.002872
146,34622.1,1.99798,2.32874,1.95782,0.13067,0.21343,0.0896,0.02942,2.17962,2.65322,2.24181,0.0028225,0.0028225,0.0028225
147,34721.6,1.9893,2.33564,1.95966,0.12615,0.22219,0.08995,0.02947,2.17904,2.65235,2.24097,0.002773,0.002773,0.002773
148,34818.9,1.98319,2.30835,1.95063,0.12597,0.2231,0.09024,0.02951,2.17788,2.65137,2.23962,0.0027235,0.0027235,0.0027235
149,34916.3,1.98422,2.33109,1.95236,0.13009,0.2148,0.08998,0.02948,2.17718,2.65057,2.23866,0.002674,0.002674,0.002674
150,35014.8,1.9766,2.31528,1.94999,0.13022,0.21453,0.0898,0.02944,2.1765,2.6497,2.2376,0.0026245,0.0026245,0.0026245
151,35113.6,1.97907,2.31407,1.94888,0.1264,0.22374,0.09003,0.0295,2.17597,2.64908,2.23693,0.002575,0.002575,0.002575
152,35211.9,1.97609,2.31707,1.95116,0.12675,0.22301,0.08978,0.02949,2.17601,2.64852,2.23709,0.0025255,0.0025255,0.0025255
153,35310.4,1.97792,2.33351,1.9512,0.12188,0.23077,0.08941,0.02948,2.17599,2.64781,2.23635,0.002476,0.002476,0.002476
154,35408.6,1.9814,2.31795,1.94581,0.12219,0.2304,0.08924,0.02945,2.17514,2.64674,2.2354,0.0024265,0.0024265,0.0024265
155,35506.4,1.98631,2.31413,1.95207,0.12259,0.23031,0.08927,0.02947,2.17351,2.64587,2.23376,0.002377,0.002377,0.002377
156,35604.3,1.98473,2.32805,1.95425,0.12259,0.22958,0.08914,0.02946,2.17266,2.64462,2.23256,0.0023275,0.0023275,0.0023275
157,35701.5,1.97831,2.30971,1.94653,0.12253,0.22776,0.08902,0.02942,2.17319,2.64367,2.23289,0.002278,0.002278,0.002278
158,35800.5,1.9834,2.31497,1.945,0.1223,0.22575,0.08917,0.02953,2.17213,2.64261,2.23174,0.0022285,0.0022285,0.0022285
159,35899,1.96664,2.31114,1.94288,0.12324,0.22778,0.0896,0.02962,2.1719,2.64167,2.23052,0.002179,0.002179,0.002179
160,35996.8,1.97249,2.32785,1.95186,0.1235,0.22612,0.08973,0.02974,2.17217,2.6411,2.23038,0.0021295,0.0021295,0.0021295
161,36096.2,1.98348,2.31896,1.94439,0.12411,0.22593,0.0897,0.02967,2.17166,2.64056,2.22898,0.00208,0.00208,0.00208
162,36194.2,1.96995,2.28868,1.93598,0.12474,0.22456,0.0894,0.0297,2.17083,2.63992,2.22764,0.0020305,0.0020305,0.0020305
163,36292.4,1.9587,2.3065,1.93459,0.12524,0.22329,0.08984,0.02969,2.1704,2.63936,2.22689,0.001981,0.001981,0.001981
164,36390.3,1.97545,2.28486,1.93253,0.12608,0.22338,0.09023,0.02968,2.17024,2.63894,2.22639,0.0019315,0.0019315,0.0019315
165,36488.9,1.97174,2.3183,1.94115,0.13044,0.21361,0.09058,0.02976,2.1692,2.63789,2.22493,0.001882,0.001882,0.001882
166,36587,1.96189,2.29652,1.92876,0.12599,0.22082,0.09064,0.02989,2.16912,2.63716,2.22332,0.0018325,0.0018325,0.0018325
167,36686.4,1.97136,2.30243,1.93127,0.12652,0.22101,0.09087,0.03004,2.16761,2.63621,2.22127,0.001783,0.001783,0.001783
168,36783.8,1.96915,2.30417,1.93582,0.12689,0.22091,0.09097,0.03019,2.1666,2.63511,2.21904,0.0017335,0.0017335,0.0017335
169,36882.2,1.9673,2.31351,1.93661,0.1311,0.21197,0.091,0.03024,2.16583,2.63397,2.21699,0.001684,0.001684,0.001684
170,36979.9,1.97182,2.29276,1.93236,0.13151,0.21243,0.09113,0.03027,2.16541,2.63308,2.21555,0.0016345,0.0016345,0.0016345
171,37077.2,1.95462,2.28141,1.93333,0.13217,0.21325,0.09121,0.03038,2.16447,2.63263,2.21361,0.001585,0.001585,0.001585
172,37176.5,1.95688,2.30424,1.93032,0.13739,0.20339,0.09119,0.03049,2.16358,2.63081,2.21181,0.0015355,0.0015355,0.0015355
173,37275.3,1.95608,2.29151,1.926,0.13287,0.2117,0.09073,0.03052,2.16181,2.63018,2.20935,0.001486,0.001486,0.001486
174,37373.2,1.97401,2.29212,1.92456,0.13748,0.20203,0.09151,0.03057,2.16147,2.62906,2.20845,0.0014365,0.0014365,0.0014365
175,37471.7,1.95392,2.28433,1.92214,0.13789,0.20394,0.09168,0.03065,2.16085,2.62784,2.20657,0.001387,0.001387,0.001387
176,37570.6,1.95482,2.29155,1.92107,0.13788,0.20394,0.09177,0.0308,2.16052,2.62702,2.20552,0.0013375,0.0013375,0.0013375
177,37669.8,1.94897,2.27915,1.91723,0.14247,0.19555,0.09171,0.03084,2.16008,2.62601,2.20406,0.001288,0.001288,0.001288
178,37768.1,1.94368,2.29127,1.92514,0.14302,0.19591,0.09194,0.03094,2.15939,2.62499,2.20269,0.0012385,0.0012385,0.0012385
179,37866,1.95071,2.28602,1.9167,0.14786,0.18733,0.09277,0.03107,2.15787,2.62423,2.20074,0.001189,0.001189,0.001189
180,37963.8,1.95131,2.27335,1.92032,0.14837,0.18889,0.09317,0.03128,2.15691,2.62281,2.19857,0.0011395,0.0011395,0.0011395
181,38061.4,1.95259,2.27942,1.91071,0.1532,0.18195,0.09343,0.03171,2.15583,2.6222,2.19672,0.00109,0.00109,0.00109
